Full Name,Nurse Number,Nurse Type,Nurse Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Lelia Susana,1,NA,Oncology,1,2,1,2,2,2,1,2,2,0,0,0,1,1,0,1,2,0,1,1,0,1,2,1,0,0,1,0,1,1,1,2,1,1,2,1,1,0,2,0,1,2
Pearlie Wilma,2,RN,Mental Health,1,2,1,0,1,0,1,2,0,1,1,1,2,0,1,1,2,2,0,2,2,2,2,1,2,1,0,1,1,2,0,2,2,1,2,2,1,2,0,1,0,0
Owen Steve,3,RN,Surgery,0,1,2,0,0,0,1,0,1,2,1,1,2,1,0,1,2,2,1,1,1,2,0,1,0,0,2,1,2,1,1,2,0,1,2,1,1,1,2,0,0,2
Jemima Augusta,4,LPN,Labor,1,0,2,1,0,2,0,2,2,2,0,0,1,2,2,1,2,1,1,2,0,0,1,1,0,2,0,2,0,2,1,0,2,1,1,0,0,2,2,1,1,0
Emmet Cecilia,5,RN,Surgery,2,0,2,0,1,0,2,2,0,0,2,0,1,1,0,2,2,0,2,1,2,2,1,2,1,2,1,0,0,2,0,2,1,1,2,2,0,2,0,2,0,1
Santos Lynn,6,LPN,Family,2,2,0,1,0,2,1,0,1,2,2,0,0,0,0,2,2,0,2,0,1,0,1,0,0,2,0,1,2,1,1,1,2,1,0,2,2,1,2,1,1,2
Ofelia Mickey,7,LPN,Pediatric,2,2,0,1,0,2,0,1,0,0,0,0,2,2,2,2,2,2,0,1,1,0,2,1,0,2,1,1,1,0,2,1,0,2,0,0,2,1,1,2,1,1
Alfonso Juliet,8,NA,Family,0,1,2,1,2,1,0,0,0,1,0,1,1,0,1,1,2,2,0,0,1,0,0,2,1,2,2,0,0,0,2,0,1,2,2,0,1,2,0,0,2,2
Herbert Bertha,9,LPN,Pediatric,0,1,1,2,0,0,2,0,0,0,1,1,2,0,2,2,1,0,1,1,0,2,0,2,1,1,1,0,2,0,1,0,2,0,1,1,0,1,2,1,0,2
Eda Selma,10,NA,Pediatric,0,2,2,1,1,2,2,0,0,2,1,2,0,1,2,1,0,2,2,2,1,1,1,0,2,2,1,0,0,2,1,1,0,0,0,2,0,2,2,1,1,1
Noe Jamaal,11,NA,Pediatric,2,0,0,1,2,0,2,0,1,2,0,2,2,0,1,0,0,1,0,0,0,2,2,0,2,0,2,2,0,2,0,1,0,0,0,2,2,2,1,1,2,1
Macie Evan,12,RN,Family,0,0,2,2,2,0,0,0,1,1,0,2,1,2,2,1,0,1,0,2,1,1,0,2,1,2,2,1,0,2,0,0,0,2,2,1,0,2,1,0,0,2
Polly Victoria,13,LPN,Forensic,1,2,1,2,1,0,0,0,1,2,1,1,2,0,2,2,2,2,0,1,1,0,1,1,1,1,2,0,0,1,0,1,2,1,2,0,2,1,1,0,1,1
Alfred Pablo,14,RN,Critical Care,0,2,0,2,2,2,0,2,0,1,1,1,2,2,0,2,0,1,1,0,0,2,1,0,2,1,2,0,0,0,0,0,2,2,1,2,0,0,1,1,1,0
Merlin Timothy,15,LPN,Labor,0,0,2,1,2,0,1,0,2,2,0,1,0,1,1,0,2,2,2,0,0,2,0,1,0,1,1,1,1,2,2,2,0,0,2,0,2,1,0,1,2,1
Theadore Tanner,16,NA,Critical Care,0,2,2,0,0,1,1,1,0,0,1,2,1,2,0,0,1,1,2,0,2,0,0,1,0,2,1,0,1,2,2,0,1,2,1,1,0,2,1,0,0,2
Joette Sebastian,17,LPN,Critical Care,2,2,1,2,0,1,0,1,2,2,0,1,1,0,0,2,2,0,2,0,1,2,2,2,0,0,2,0,1,2,0,1,2,2,1,0,0,1,1,2,2,2
Emily Roy,18,LPN,Family,1,1,2,1,2,2,2,1,1,0,2,0,0,0,0,2,1,1,1,2,2,2,2,2,1,0,2,2,1,0,0,1,0,0,2,2,1,0,1,1,0,0
Barbara Menachem,19,NA,Mental Health,2,2,0,1,1,2,2,1,0,0,2,1,1,2,1,2,1,2,1,0,0,0,1,1,0,2,1,0,0,1,1,1,0,2,0,0,1,2,1,0,2,2
Archie Nicolle,20,NA,Mental Health,0,2,2,0,1,1,1,0,0,2,2,0,1,0,2,1,1,1,1,2,0,2,0,1,1,2,1,1,2,0,2,1,2,0,0,0,1,0,2,2,2,1
Haywood Jaquan,21,RN,Labor,1,1,1,0,0,2,2,2,2,1,0,2,0,1,1,2,0,2,2,2,0,2,0,0,2,2,0,2,2,0,1,0,1,2,1,1,1,1,2,1,2,1
Wyatt Conner,22,LPN,Midwife,2,1,2,2,1,0,1,2,2,2,1,2,0,2,2,1,2,1,1,2,0,2,1,1,2,0,1,1,0,2,2,1,0,0,2,0,2,0,2,0,2,1
