Full Name,Nurse Number,Nurse Type,Pay,1(Monday),2(Monday),3(Monday),4(Tuesday),5(Tuesday),6(Tuesday),7(Wednesday),8(Wednesday),9(Wednesday),10(Thursday),11(Thursday),12(Thursday),13(Friday),14(Friday),15(Friday),16(Saturday),17(Saturday),18(Saturday),19(Sunday),20(Sunday),21(Sunday),22(Monday),23(Monday),24(Monday),25(Tuesday),26(Tuesday),27(Tuesday),28(Wednesday),29(Wednesday),30(Wednesday),31(Thursday),32(Thursday),33(Thursday),34(Friday),35(Friday),36(Friday),37(Saturday),38(Saturday),39(Saturday),40(Sunday),41(Sunday),42(Sunday)
Thomas Glenn,1,Cardiac Nursing,80000,0,0,0,1,2,1,2,0,1,1,1,1,1,0,1,1,1,2,0,2,0,0,1,1,2,1,1,2,1,0,2,1,1,2,0,2,2,0,2,0,2,0
Idell Marcella,1,Critical Care Nurse,85000,2,2,1,1,0,2,1,0,1,1,0,1,2,1,1,1,1,1,2,2,0,1,0,0,1,1,0,1,1,2,2,1,0,1,0,2,2,0,2,2,1,1
Lafayette August,1,Mental Health Nursing,72000,1,2,0,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,0,2,1,0,2,1,2,0,0,2,2,2,0,1,1,0,1,0,2,0,0,1,2
Emerson Russ,1,Gerontological Nursing,72000,1,1,2,1,0,0,1,0,1,1,2,2,2,0,0,2,0,0,0,2,1,1,0,2,1,2,2,0,0,0,1,0,1,2,0,2,2,0,1,2,0,1
Dion Bart,1,Licensed Practical Nurse,60000,2,2,0,1,2,1,2,1,2,2,1,1,1,0,0,1,0,0,0,1,0,1,2,0,1,2,2,1,1,0,1,0,2,1,2,0,2,2,1,0,0,2
Delfina Rollin,1,Mental Health Nursing,72000,0,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,0,0,2,1,2,0,0,0,2,0,0,2,2,2,1,1,0,0,2,1,2,2,2,1,0
Elwin Gregory,1,Licensed Practical Nurse,60000,1,0,2,1,2,0,1,2,2,2,2,0,2,2,1,0,2,1,0,1,0,2,1,0,2,0,1,2,0,1,2,2,1,2,2,2,0,2,1,2,1,2
Mariano Tommie,1,Health Informatics,95000,1,2,1,0,1,0,0,1,0,1,0,1,0,2,0,2,1,2,0,0,1,2,1,1,2,0,0,1,2,2,0,2,2,2,2,1,2,2,2,0,1,0
Bernetta Russ,1,Registered Nurse,75000,2,2,0,2,0,0,1,1,0,0,2,1,2,1,0,0,1,2,2,0,2,0,1,1,1,2,2,0,1,0,2,1,2,1,0,0,1,1,0,0,0,0
Clare Orie,1,Surgical Nurse,78000,2,2,1,0,1,0,1,0,1,0,1,1,2,2,1,2,0,0,2,0,1,0,1,0,1,0,2,0,1,2,1,1,2,0,0,1,2,0,2,0,0,2
Lyda Jess,1,Pediatric Nursing,68000,2,1,2,0,1,1,1,0,2,2,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,1,0,2,2,0,2,2,0,2,1,0,2,1,2,0,0,0
Angel Alda,1,Nurse Midwife,91000,1,0,1,2,2,2,0,0,0,1,0,0,0,1,2,2,0,2,1,1,1,2,0,1,1,1,2,1,1,0,1,1,1,0,1,2,2,1,1,1,2,2
Christie Hamp,1,Nursing Management,93000,1,1,1,2,1,1,2,2,0,1,1,1,1,0,0,1,2,0,2,2,0,0,2,2,2,2,0,0,1,0,2,1,1,1,0,2,1,1,2,0,1,2
Elissa Boyd,1,Cardiac Nursing,80000,1,0,1,1,2,0,1,0,1,0,0,0,2,0,2,0,0,1,1,2,2,1,0,2,0,2,0,2,1,2,1,0,1,2,2,0,2,1,1,2,1,1
Connie Donnie,1,Licensed Practical Nurse,60000,2,1,0,2,2,2,1,2,2,1,2,0,1,1,1,0,1,1,0,0,1,2,1,2,1,2,0,2,1,0,0,1,2,2,1,0,0,1,0,2,0,0
Roswell Kermit,1,Emergency Nursing,82000,0,0,1,0,1,0,2,0,2,0,1,0,2,1,1,2,1,0,0,0,1,0,0,2,0,2,2,1,1,2,2,2,0,2,2,0,0,1,0,1,1,1
Denis Alize,1,Health Informatics,95000,0,2,0,2,0,1,2,2,1,2,1,1,0,1,0,1,1,0,2,0,0,2,0,2,0,1,1,2,1,1,0,0,2,1,0,0,0,0,1,1,2,2
Wendell Ross,1,Pediatric Nursing,68000,0,0,2,0,0,1,2,1,1,1,2,0,2,1,2,0,0,2,2,2,1,1,0,1,0,1,0,2,2,0,0,0,1,2,1,2,2,2,0,0,1,0
Elnora Stephanie,1,Clinical Nurse Specialist,97000,1,1,2,2,1,0,0,1,2,0,2,2,0,1,1,2,2,1,2,1,0,2,0,1,0,2,2,2,2,1,2,0,2,2,2,1,0,2,0,1,0,1
Theodis Pete,1,Gerontological Nursing,72000,2,0,0,2,2,2,1,0,2,2,2,2,0,2,1,2,1,1,0,1,0,0,2,0,2,0,0,1,2,1,2,0,0,2,2,2,1,0,1,1,0,1
Dorris Aretha,1,Registered Nurse,75000,2,0,2,1,2,0,1,1,2,0,1,2,2,2,0,1,2,1,0,1,0,2,1,0,0,2,1,0,2,2,0,1,2,2,0,1,0,1,2,2,1,0
Mildred Laraine,1,Mental Health Nursing,72000,2,2,0,0,2,2,0,0,1,2,2,2,0,0,2,1,1,0,2,2,1,1,2,0,0,1,0,2,2,2,2,2,1,0,2,1,0,0,1,1,1,2
David Lilie,1,Mental Health Nursing,72000,2,0,2,0,1,0,2,2,0,0,0,1,2,1,0,1,2,2,0,1,1,0,2,0,2,1,0,2,1,2,2,0,0,2,2,0,1,2,1,0,0,0
Leonora Cornelius,1,Nurse Educator,70000,1,0,1,2,0,0,1,2,0,0,0,0,0,1,2,0,0,0,1,1,2,2,0,0,1,1,0,1,0,2,2,1,0,1,1,0,0,0,0,1,1,0
Cassie Lavada,1,Health Informatics,95000,0,1,1,0,0,0,0,0,0,2,2,2,2,2,1,0,1,0,2,0,0,1,2,2,1,2,0,2,1,1,0,0,0,2,2,0,2,1,0,2,1,1
Wilburn Cornelius,1,Labor and Delivery Nurse,90000,2,2,1,2,1,0,0,2,2,2,2,1,1,2,1,2,2,0,1,1,0,2,0,2,0,2,0,0,2,1,0,0,1,2,1,2,0,2,0,1,1,0
Mike Roger,1,Emergency Nursing,82000,1,2,0,1,1,2,0,2,0,0,2,1,1,1,1,2,0,0,2,0,2,2,2,1,0,0,0,1,2,0,0,0,0,0,0,2,1,0,2,2,1,1
Sula Dallas,1,Occupational Health Nursing,73000,2,1,1,0,2,1,1,0,1,0,0,2,0,2,1,1,1,2,0,1,0,1,0,2,2,1,0,1,0,0,2,1,0,2,2,1,0,1,2,1,1,2
Nicklaus Shirlene,1,Occupational Health Nursing,73000,1,2,2,1,1,0,1,2,0,0,1,0,1,0,2,2,0,1,0,1,0,0,2,1,2,2,2,2,0,2,2,0,1,0,0,2,0,0,1,1,2,2
Rhoda Roberto,1,Nurse Educator,70000,1,1,0,0,2,1,2,2,0,0,2,0,1,2,2,2,0,2,1,0,0,1,2,1,0,0,1,0,2,0,2,2,1,0,2,1,0,0,1,0,0,0
Rodney Peyton,1,Cardiac Nursing,80000,1,1,0,0,0,2,1,0,0,2,0,1,0,0,0,2,2,2,2,2,0,0,2,1,2,1,2,2,0,2,0,0,0,1,0,1,2,1,1,1,0,2
Jeannine Drew,1,Registered Nurse,75000,1,1,2,1,0,0,0,0,1,0,2,1,2,1,2,0,0,1,2,0,0,0,2,2,1,2,2,0,2,0,2,2,0,1,2,0,0,1,2,2,2,1
Clementine David,1,Dialysis Nurse,74000,0,2,1,1,1,2,1,2,2,0,1,1,0,0,0,2,0,1,0,2,1,1,2,2,0,2,2,2,0,0,0,0,0,2,0,2,2,0,0,1,0,1
