Full Name,Nurse Number,Nurse Type,Nurse Department,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Steven Velma,1,NA,Surgery,0,2,0,2,0,2,1,1,0,2,2,1,2,2,2,1,0,0,1,0,0,2,2,2,0,0,2,0,2,2,2,1,2,1,2,1,0,0,0,1,0,2
Ezra Leola,2,LPN,Oncology,0,2,0,0,0,1,2,0,1,2,1,1,1,1,2,1,1,2,1,0,0,2,2,0,0,0,0,0,0,0,1,0,2,1,2,0,2,1,0,0,1,1
Fabiola Billy,3,LPN,Oncology,2,1,0,1,1,1,2,1,2,0,0,1,2,1,0,0,1,2,2,0,0,1,0,0,2,0,2,1,1,0,1,0,2,1,0,0,1,1,1,2,2,1
Jocelyn Van,4,RN,Pediatric,1,0,0,0,0,2,2,1,0,1,2,2,0,1,1,1,0,0,0,1,1,0,0,0,1,1,2,1,2,1,1,2,0,2,1,0,0,2,1,0,0,0
Ervin Freida,5,RN,Pediatric,0,1,1,1,0,0,0,0,2,2,0,1,1,1,0,1,2,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,2,0,1,0
Lorna Lyle,6,RN,Surgery,2,0,0,0,1,2,2,1,0,1,2,2,2,1,1,0,1,2,0,1,0,0,2,0,0,1,0,1,0,0,0,2,2,1,2,1,2,1,1,0,1,2
Ethel Rosa,7,NA,Pediatric,1,2,0,1,2,0,0,2,0,0,2,1,1,2,1,1,1,2,0,2,1,0,2,0,0,1,2,2,2,1,0,1,0,1,1,1,1,2,1,1,1,2
Marjory Oma,8,NA,Oncology,1,2,2,0,1,0,0,1,1,1,0,2,1,0,0,0,2,2,2,1,1,1,2,2,1,0,1,2,2,1,0,2,0,0,0,0,2,1,0,2,1,1
Jeanie Amelia,9,RN,Oncology,0,2,1,0,0,1,2,2,0,1,2,0,1,2,2,1,1,1,2,0,2,2,0,1,2,1,1,0,1,1,1,0,2,2,1,0,1,2,0,1,0,0
Rashawn Blaine,10,LPN,Oncology,1,0,1,1,0,0,2,1,2,2,1,0,1,2,1,0,1,2,0,1,1,1,0,0,1,0,2,2,1,2,2,0,0,0,2,2,2,0,1,1,0,1
Lynsey Cornell,11,RN,Oncology,0,0,0,0,1,1,2,1,0,0,2,0,2,2,2,2,1,2,1,0,1,1,0,1,2,0,1,1,0,2,0,2,1,2,1,2,1,1,0,2,1,0
Reginald Kate,12,LPN,Surgery,1,0,0,1,0,0,2,0,2,0,1,1,1,1,2,2,0,1,1,2,0,0,0,1,0,2,2,1,0,1,2,2,1,1,0,0,1,1,1,2,0,0
Yolanda Lessie,13,NA,Oncology,1,2,2,0,1,0,0,0,2,2,2,1,1,1,2,0,1,1,1,2,1,1,1,2,1,2,1,2,2,0,2,1,2,0,0,1,2,2,1,0,1,1
Sophronia Venus,14,NA,Surgery,1,0,1,1,0,2,1,2,1,2,1,2,1,2,1,2,0,0,0,1,0,1,2,1,0,0,2,0,1,2,1,1,1,1,2,0,2,0,0,1,2,1
Leopoldo Adam,15,NA,Pediatric,0,1,0,2,2,1,2,0,2,0,2,0,2,1,0,0,2,2,1,1,0,1,0,1,0,2,0,2,0,1,2,0,1,0,2,2,1,0,2,2,1,0
Neta Weldon,16,RN,Surgery,1,0,2,1,1,0,2,2,2,1,1,0,0,2,0,0,2,1,2,2,1,0,0,0,0,2,2,2,2,2,1,1,0,1,2,1,2,0,1,1,2,0
Gerald Coleman,17,RN,Oncology,0,2,0,1,1,1,2,0,1,0,0,1,1,0,1,1,2,0,0,2,2,0,1,1,2,2,1,0,2,0,1,0,2,1,1,0,0,2,1,1,1,2
David Kandy,18,RN,Pediatric,2,0,1,2,1,1,1,0,0,1,2,0,2,0,1,1,0,1,2,1,2,1,2,0,2,2,1,0,0,2,2,0,0,0,1,1,0,0,0,2,1,0
Mortimer Amos,19,NA,Oncology,0,2,1,2,2,2,1,1,1,2,0,1,1,0,2,0,2,1,2,1,1,1,1,1,0,0,2,2,2,2,1,1,0,2,1,1,1,2,0,1,0,1
Guillermo Jaden,20,RN,Oncology,2,1,0,2,0,1,1,0,1,0,2,2,1,0,2,0,0,1,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,1,1,2,2,2,0,2,1,1
Santa Rene,21,NA,Oncology,1,0,1,2,1,1,1,1,1,1,0,0,1,0,2,2,0,2,0,1,2,2,0,2,0,1,0,1,0,2,0,2,1,0,2,1,2,1,0,0,0,1
Collins Virgie,22,RN,Pediatric,1,0,2,0,2,2,2,2,0,0,2,0,0,2,0,2,0,2,0,2,1,0,2,0,0,0,1,2,2,2,0,0,1,1,0,0,0,2,0,0,1,0
